SP,LogMass,LogLength,LogDiameter
23,-0.084072788,2.278753601,0.42975228
23,-0.01188716,2,0.354108439
23,0.788875116,2.278753601,0.754730469
23,1.020816887,2.217483944,0.743509765
23,1.382557322,2.40654018,0.892372907
23,1.396199347,2.397940009,0.977494969
23,1.503790683,2.45484486,1.021396057
23,1.702861171,2.73239376,1.042772337
23,1.763427994,2.51851394,1.090258053
23,2.022626295,2.785329835,1.06069784
23,2.063333359,2.86923172,0.930821728
23,2.199755177,2.934498451,1.176091259
23,2.312811826,2.662757832,1.255393126
23,2.354300562,2.812913357,1.247482261
23,2.497067936,2.838849091,1.44357588
23,2.658393026,3.021189299,1.474653253
23,2.733882942,3.10720997,1.51851394
23,2.879038505,3.017033339,1.583255467
23,3.051286458,3.315970345,1.602059991
23,3.053664116,3.195899652,1.62324929
23,3.518854793,3.292256071,1.826074803
23,4.040383925,3.431363764,2.008600172
23,4.108159983,3.33243846,2.071882007
23,4.201260532,3.451786436,2.274157849
23,4.280658189,3.45484486,2.096910013
23,4.362366704,3.361727836,2.521138084
23,4.372351143,3.50242712,2.399673721
23,4.437663743,3.562292864,2.257678575
23,4.521559213,3.531478917,2.344392274
23,4.546314361,3.531478917,2.336459734
24,-0.54515514,2.447158031,0.183269844
24,1.434951936,2.908485019,0.954965731
24,1.458743577,2.770852012,1.122870923
24,1.619656713,2.929418926,1.09725731
24,2.054241409,2.900367129,1.464415022
24,2.115031066,2.903089987,1.255995727
24,2.115843404,2.886490725,1.228272002
